Rank,Iteration,Accuracy Globale,Accuracy Classe 1,Accuracy Classe 2,Macro Accuracy,Model,Model_Type
0,Mean,0.8628318584070795,0.8586535253783257,0.894047619047619,0.8763505722129725,ADASYN,SVM
1,Mean,0.8429203539823009,0.8393884841188279,0.8677976190476191,0.8535930515832234,SMOTE-ENN,SVM
0,Mean,0.845132743362832,0.8418387001260385,0.861547619047619,0.8516931595868286,SMOTE-ENN,Logistic Regression
2,Mean,0.8473451327433628,0.8446980263915259,0.8582142857142857,0.851456156052906,SMOTE,SVM
3,Mean,0.8460176991150442,0.8421402456467584,0.8604166666666668,0.8512784561567125,RandomOverSampler,SVM
1,Mean,0.8716814159292035,0.8724743077779479,0.7969642857142858,0.8347192967461169,ADASYN,Logistic Regression
4,Mean,0.8761061946902655,0.8795993174977571,0.7798809523809525,0.8297401349393546,Borderline SMOTE,SVM
2,Mean,0.8681415929203539,0.8691221205411738,0.7898214285714287,0.8294717745563013,RandomOverSampler,Logistic Regression
3,Mean,0.8761061946902655,0.8797321408099974,0.7686309523809525,0.8241815465954747,Borderline SMOTE,Logistic Regression
4,Mean,0.8641592920353982,0.8656299122311741,0.7819642857142858,0.82379709897273,SMOTE,Logistic Regression
0,Mean,0.8915929203539823,0.9117474920613858,0.5075000000000001,0.709623746030693,SMOTE-ENN,Random Forest
1,Mean,0.9163716814159294,0.9428872229437314,0.4191666666666666,0.6810269448051991,ADASYN,Random Forest
2,Mean,0.9261061946902656,0.9568409952933944,0.3566666666666666,0.6567538309800305,SMOTE,Random Forest
5,Mean,0.9508849557522124,0.9851898553481186,0.2716666666666666,0.6284282610073927,Before SMOTE,
3,Mean,0.9327433628318584,0.9674047778940824,0.2487499999999999,0.6080773889470411,Borderline SMOTE,Random Forest
4,Mean,0.9464601769911504,0.9884268763609948,0.1404166666666666,0.5644217715138308,RandomOverSampler,Random Forest
